[2023-01-14 13:05:37] No settings files found: /home/toki/servers/mindustry/config/settings.bin and /home/toki/servers/mindustry/config/settings_backup.bin
[2023-01-14 13:05:40] Saving 2 values; 44 bytes
[2023-01-14 13:06:00] Saving 2 values; 44 bytes
[2023-01-14 13:09:10] Loaded 2 values
[2023-01-14 13:09:10] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2023-01-14 13:09:13] Saving 2 values; 44 bytes
[2023-01-14 13:10:13] Saving 2 values; 44 bytes
[2023-01-14 13:11:13] Saving 2 values; 44 bytes
[2023-01-14 13:12:13] Saving 2 values; 44 bytes
[2023-01-14 13:13:13] Saving 2 values; 44 bytes
[2023-01-14 13:14:13] Saving 2 values; 44 bytes
[2023-01-14 13:15:13] Saving 2 values; 44 bytes
[2023-01-14 13:16:13] Saving 2 values; 44 bytes
[2023-01-14 13:17:13] Saving 2 values; 44 bytes
[2023-01-14 13:18:13] Saving 2 values; 44 bytes
[2023-01-14 13:19:13] Saving 2 values; 44 bytes
[2023-01-14 13:20:13] Saving 2 values; 44 bytes
[2023-01-14 13:21:13] Saving 2 values; 44 bytes
[2023-01-14 13:22:13] Saving 2 values; 44 bytes
[2023-01-14 13:23:13] Saving 2 values; 44 bytes
[2023-01-14 13:24:13] Saving 2 values; 44 bytes
[2023-01-14 13:25:13] Saving 2 values; 44 bytes
[2023-01-14 13:26:13] Saving 2 values; 44 bytes
[2023-01-14 13:27:13] Saving 2 values; 44 bytes
[2023-01-14 13:28:13] Saving 2 values; 44 bytes
[2023-01-14 13:29:13] Saving 2 values; 44 bytes
[2023-01-14 13:30:13] Saving 2 values; 44 bytes
[2023-01-14 13:31:13] Saving 2 values; 44 bytes
[2023-01-14 13:32:13] Saving 2 values; 44 bytes
[2023-01-14 13:33:13] Saving 2 values; 44 bytes
[2023-01-14 13:34:13] Saving 2 values; 44 bytes
[2023-01-14 13:35:13] Saving 2 values; 44 bytes
[2023-01-14 13:36:13] Saving 2 values; 44 bytes
